,Gold_gbm,Gold_rf,Gold_xgb,Gold_lgb,Total_gbm,Total_rf,Total_xgb,Total_lgb
Gold_Change_1,0.03824260790082813,0.020427622397182113,0.027070386,132,0.021315152378466717,0.012637933778035262,0.013757969,136
Gold_Change_2,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Gold_Change_3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Gold_Efficiency,0.12318920316537665,0.14329579561110603,0.13904104,332,0.00423778572202008,0.002319811378538683,0.013191355,30
Gold_MA_1,0.00035292822772242357,0.0008893788662463711,0.005097259,26,0.00047498477496933715,0.0009266598962153768,0.0035560634,23
Gold_MA_2,0.0,0.0001360388536154963,0.004420419,1,0.00018053429748166375,0.00017048671379614285,0.0047995965,7
Gold_MA_3,8.769194520465807e-05,0.0004506359040653243,0.004146749,17,0.0002508962896726561,0.0005041625335222526,0.0021597708,25
Gold_growth,0.006983597150187191,0.00944690615310363,0.014152286,67,0.0047413265829089075,0.00593794012938845,0.0071325693,36
Gold_ma_4year,0.7283260083936342,0.710390854168956,0.62203205,351,0.3821990836218605,0.40798563906392377,0.6237881,165
Historical_Best_Gold,0.00037189358502430925,0.0010261757848097713,0.0023915477,36,0.0006076675288805064,0.0009724012582723636,0.0020030376,18
Host_Year,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Is_Host,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Medal_Efficiency,0.00047058526515872097,0.00023942268469028278,0.006165897,32,0.13232770093145518,0.13663772799872131,0.09426434,473
Olympics_Since_Last,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Participation_Count,0.0016344124140040012,0.0038629558568999897,0.010398196,48,0.002452687853259212,0.002748486858380183,0.0037784097,88
Previous_Rank,0.04990173841724976,0.04352803948269986,0.084384024,54,0.0319077074748064,0.02680387552076519,0.038390696,93
Total_Events,0.007246826341505976,0.015111409930341248,0.016471831,98,0.013936428968373922,0.021774019599624994,0.009251129,187
Total_MA_1,0.001657297904213462,0.0007102674965319692,0.0041354583,15,0.0018769823105246675,0.003492277556687671,0.0033094177,9
Total_MA_2,0.0,0.00026073410226533757,0.0021134939,13,8.359697474005271e-05,0.00019308778571438143,0.00060180965,12
Total_MA_3,0.0001353912644293704,0.0003200004307899604,0.0013905063,20,0.0009829216251427244,0.0005328569442776176,0.0012274049,35
Total_growth,0.008482286419208633,0.0080942837516003,0.003545193,24,0.004715280564010414,0.006369528795488234,0.0040885196,55
Total_ma_4year,0.023044226531296022,0.025939505681334313,0.020194262,362,0.37702559352068726,0.3525220203385701,0.15626623,381
Year,0.009087777496204184,0.011977480824275777,0.010139687,203,0.01948388891829866,0.013743330835981442,0.010965034,346
Years_To_Next,0.0,0.0,0.0,0,0.0,0.0,0.0,0
country_tier,9.639046301344368e-06,0.0010014373182605943,0.019533943,9,0.0002856010831753028,0.0008325233719777145,0.0015408581,10
historical_max_Gold,0.0006448996433564639,0.0015976884439215682,0.0016047992,111,0.0003038629266094819,0.001129682717927636,0.0020992495,43
historical_max_Total,0.00013098888909488519,0.00129336625730418,0.001570976,31,0.0006103156526562616,0.0017655469241911709,0.003828272,45
